Name of the Organization,Salary Per Annum (Rs. In Lakhs),ECE,CSE,EEE,IT,MECH,PROD,CIVIL,CHEM,BIO- TECH,MCA,MTech/ CSE,M.E/ ECE,M.E/ EEE,"M.E/
Cad/Cam",ME/ CIVIL,MBA,TOTAL,Year,ME / VLSI,ME/ THERMAL,MTech/ CNIS,ME/ Stru
Colruyt,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,21,0.0,0.0,0.0,0.0
MTX,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,21,0.0,0.0,0.0,0.0
Khumbu,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,21,0.0,0.0,0.0,0.0
XIT Solutions,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,21,0.0,0.0,0.0,0.0
VISA,15.4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,21,0.0,0.0,0.0,0.0
ICICI  MBA,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,10,21,0.0,0.0,0.0,0.0
Kotak Life  Insurance  MBA,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3,21,0.0,0.0,0.0,0.0
Innominds Software Pvt Ltd,3.5,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,21,0.0,0.0,0.0,0.0
IIFL Finance MBA,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2,21,0.0,0.0,0.0,0.0
Medha Servo Drive,3.4,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4,21,0.0,0.0,0.0,0.0
Global Edge Software,3.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,21,0.0,0.0,0.0,0.0
Neuland Labs,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,21,0.0,0.0,0.0,0.0
Ryan India MBA,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,5,21,0.0,0.0,0.0,0.0
Accelerize360,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,21,0.0,0.0,0.0,0.0
Accelerize360,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,21,0.0,0.0,0.0,0.0
Microsoft 2021,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,21,0.0,0.0,0.0,0.0
Laksh Semiconductors,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,21,0.0,0.0,0.0,0.0
NCR Corporation,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,21,0.0,0.0,0.0,0.0
Speed Labs,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2,21,0.0,0.0,0.0,0.0
Byjus,10.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6,21,0.0,0.0,0.0,0.0
Oculotronics Technology,3.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3,21,0.0,0.0,0.0,0.0
Bajaj Finance Ltd,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1,21,0.0,0.0,0.0,0.0
Innovacx Tech Labs Pvt Ltd,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3,21,0.0,0.0,0.0,0.0
ITC Limited,8.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,21,0.0,0.0,0.0,0.0
Cloud4c,6.0,7.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,18,21,0.0,0.0,0.0,0.0
Orient Cement,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,21,0.0,0.0,0.0,0.0
Nupore Filtration Systems Pvt Ltd,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,21,0.0,0.0,0.0,0.0
Electronics Arts (EA),15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2,21,0.0,0.0,0.0,0.0
Hyundai Transys R&D,3.4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5,21,0.0,0.0,0.0,0.0
Sanghi Automotive Pvt Ltd,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1,21,0.0,0.0,0.0,0.0
Godrej & Boyce Mfg,5.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,21,0.0,0.0,0.0,0.0
Modak Analytics,4.0,11.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,16,21,0.0,0.0,0.0,0.0
IndiaMART InterMESH Ltd,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1,21,0.0,0.0,0.0,0.0
Reputation .com,13.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4,21,0.0,0.0,0.0,0.0
